date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:31	14707/14707	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-3973%22	https://busdmatrix.io/lib/jquery.numeric.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/lib/jquery.numeric.js	(from https://busdmatrix.io/)
06:28:31	2053/2053	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-805%22	https://busdmatrix.io/js/slider_drag.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/js/slider_drag.js	(from https://busdmatrix.io/)
06:28:32	6307/6307	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-18a3%22	https://busdmatrix.io/abi/contract.abi.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/abi/contract.abi.js	(from https://busdmatrix.io/)
06:28:32	5100/5100	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-13ec%22	https://busdmatrix.io/abi/token.abi.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/abi/token.abi.js	(from https://busdmatrix.io/)
06:28:32	2120/2120	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a325c5-848%22	https://busdmatrix.io/js/main.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/js/main.js	(from https://busdmatrix.io/)
06:28:32	117/117	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-75%22	https://busdmatrix.io/js/subjects.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/js/subjects.js	(from https://busdmatrix.io/)
06:28:32	3234/3234	---MCZ	200	added ('OK')	application/javascript	etag:W/%22619bd780-ca2%22	https://busdmatrix.io/js/observables.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/js/observables.js	(from https://busdmatrix.io/)
06:28:33	2345/2345	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a325c5-929%22	https://busdmatrix.io/js/observers.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/js/observers.js	(from https://busdmatrix.io/)
06:28:33	19095/19095	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261a33d25-4a97%22	https://busdmatrix.io/js/dapp.js	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/js/dapp.js	(from https://busdmatrix.io/)
06:28:33	247/247	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:34	319/319	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:34	301/301	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:35	301/301	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:35	246/246	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:35	374/374	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:35	371/371	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:36	7006/7006	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_222222_256x240.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_222222_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:36	7092/7092	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_888888_256x240.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_888888_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:36	7071/7071	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_454545_256x240.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_454545_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:36	4599/4599	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_2e83ff_256x240.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_2e83ff_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
